Year,FMP Area,FMP Subarea,Reporting Area Code,Trip Target Code,Trip Target Name,Species Group Name,Retained/Discarded,Gear Code,Weight Posted (Sum),WED (mmdd)
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,98.67,324
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,12.65,414
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,20.15,421
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,1394.65,428
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,273.84,505
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,91.44,512
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,79.77,519
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,30.6,616
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,168.3,623
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,1.85,630
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,431.91,707
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,792.46,714
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,499.69,721
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,7.17,728
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,0.09,825
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Discarded,TRW,1.42,901
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,20.89,106
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,24.55,324
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,92.78,414
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,2.24,421
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,127.26,428
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,1.02,505
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,0.42,519
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,26.9,526
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,96.45,616
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,63.32,630
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,3466.54,707
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,4506.56,714
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,6168.89,721
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,520.61,728
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,8.96,825
1991,BSAI,BS,513,B,Pollock - bottom,Pollock,Retained,TRW,11.67,901
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,HAL,0.01,324
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,HAL,0.12,526
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,HAL,0.01,623
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,HAL,0.05,1229
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,TRW,20.15,113
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,TRW,13.23,310
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,TRW,6.23,407
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,TRW,64.57,428
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Discarded,TRW,122.96,505
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Retained,TRW,0.19,113
1991,BSAI,BS,513,C,Pacific Cod,Pollock,Retained,TRW,16.14,428
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,14.05,428
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,67.98,505
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,7.45,519
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,44.53,526
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,18.51,602
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,17.14,609
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,0.16,616
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,12.8,623
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,526.13,630
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,1.39,707
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,88.04,728
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,53.93,811
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,61.22,825
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,95.28,901
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,81.23,908
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,286.11,915
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,107.92,922
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,209.98,929
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,99.73,1006
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,55.04,1013
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,27.36,1020
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,3.59,428
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,55.24,505
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,8,512
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,13.63,519
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,3.61,526
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,1.15,602
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,6.87,609
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,2.46,616
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,38.15,623
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,16.17,630
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,34.75,825
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,28.06,901
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,58.32,908
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,57.84,915
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,101.94,922
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,77.77,929
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,4.19,1006
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,8.68,1013
1991,BSAI,BS,513,F,Other Flatfish - BSAI,Pollock,Retained,TRW,27.97,1020
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,0.18,602
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,538.4,609
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,482.75,616
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,0.24,623
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,203.18,630
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,165.23,707
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,6.55,714
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,170.5,721
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Discarded,TRW,172.88,728
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Retained,TRW,8.62,602
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Retained,TRW,10241.35,609
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Retained,TRW,10147.55,616
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Retained,TRW,1226.26,623
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Retained,TRW,1034.69,630
1991,BSAI,BS,513,P,Pollock - midwater,Pollock,Retained,TRW,3109.98,707
